,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Port Lincoln,AU,2020-02-22 20:18:08,-34.73,135.87,64.6,82,0,6.15,clear sky,0.0,0.0
1,Ugoofaaru,MV,2020-02-22 20:18:08,5.67,73.0,82.83,77,63,15.12,broken clouds,0.0,0.0
2,Kapaa,US,2020-02-22 20:13:40,22.08,-159.32,75.2,78,90,10.29,overcast clouds,0.0,0.0
3,Punta Arenas,CL,2020-02-22 20:18:08,-53.15,-70.92,75.2,38,100,23.04,overcast clouds,0.0,0.0
4,Necochea,AR,2020-02-22 20:16:14,-38.55,-58.74,75.99,65,0,3.0,clear sky,0.0,0.0
5,Castro,BR,2020-02-22 20:18:09,-24.79,-50.01,70.52,75,34,5.53,light rain,0.38,0.0
6,Komsomolskiy,UZ,2020-02-22 20:18:06,40.43,71.72,44.6,80,87,6.93,mist,0.0,0.0
7,Ancud,CL,2020-02-22 20:18:09,-41.87,-73.82,80.6,32,0,8.05,clear sky,0.0,0.0
8,Ushuaia,AR,2020-02-22 20:18:00,-54.8,-68.3,69.8,46,40,4.7,scattered clouds,0.0,0.0
9,Viking,CA,2020-02-22 20:18:10,53.1,-111.77,37.0,63,99,7.0,light snow,0.0,0.19
10,Totness,SR,2020-02-22 20:18:10,5.88,-56.32,79.72,81,13,11.99,few clouds,0.0,0.0
11,Hobart,AU,2020-02-22 20:16:32,-42.88,147.33,53.01,87,20,6.93,few clouds,0.0,0.0
12,Viedma,AR,2020-02-22 20:18:10,-40.81,-63.0,78.15,26,0,1.1,clear sky,0.0,0.0
13,Kintinku,TZ,2020-02-22 20:18:10,-5.88,35.23,77.0,69,20,1.54,few clouds,0.0,0.0
14,Bluff,NZ,2020-02-22 20:18:11,-46.6,168.33,55.99,79,68,5.99,light rain,0.19,0.0
15,Avarua,CK,2020-02-22 20:18:11,-21.21,-159.78,82.4,88,69,8.05,light rain,1.94,0.0
16,New Norfolk,AU,2020-02-22 20:18:11,-42.78,147.06,53.01,87,20,6.93,few clouds,0.0,0.0
17,Itarema,BR,2020-02-22 20:13:18,-2.92,-39.92,74.1,96,100,6.11,light rain,0.81,0.0
