City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Haines Junction,CA,2020-02-16 22:02:48,60.75,-137.51,-9.83,92,96,4.27
1,Havelock,US,2020-02-16 22:01:50,34.88,-76.9,55.0,71,90,5.82
2,Bintulu,MY,2020-02-16 22:04:38,3.17,113.03,75.2,94,90,2.24
3,Rikitea,PF,2020-02-16 22:01:42,-23.12,-134.97,79.61,78,100,20.33
4,Punta Arenas,CL,2020-02-16 22:00:00,-53.15,-70.92,50.0,66,40,23.04
5,Georgetown,MY,2020-02-16 21:57:50,5.41,100.34,80.6,88,20,3.36
6,Quelimane,MZ,2020-02-16 22:10:04,-17.88,36.89,84.2,79,20,6.93
7,Leshukonskoye,RU,2020-02-16 22:10:05,64.9,45.76,28.18,91,100,12.12
8,Sur,OM,2020-02-16 22:10:05,22.57,59.53,68.43,39,0,8.68
9,Omboue,GA,2020-02-16 22:10:06,-1.57,9.26,76.77,93,100,2.26
10,Padang,ID,2020-02-16 22:10:06,-0.95,100.35,68.0,90,100,3.18
11,Mataura,NZ,2020-02-16 22:10:06,-46.19,168.86,69.01,77,65,4.0
12,Ushuaia,AR,2020-02-16 22:10:06,-54.8,-68.3,48.2,70,20,24.16
13,Daitari,IN,2020-02-16 22:10:07,21.1,85.75,67.28,90,0,0.51
14,East London,ZA,2020-02-16 22:02:09,-33.02,27.91,80.19,81,67,14.18
15,Lompoc,US,2020-02-16 22:02:29,34.64,-120.46,73.99,46,1,9.17
16,Mehamn,NO,2020-02-16 22:04:41,71.04,27.85,32.0,86,90,12.75
17,Vaini,TO,2020-02-16 22:01:47,-21.2,-175.2,78.8,78,75,11.41
18,Barrow,US,2020-02-16 22:02:06,71.29,-156.79,-40.0,74,1,4.7
19,Arraial Do Cabo,BR,2020-02-16 22:00:05,-22.97,-42.03,82.4,78,92,11.41
20,Manadhoo,MV,2020-02-16 22:04:42,5.77,73.38,81.93,76,0,15.28
21,Jamestown,US,2020-02-16 22:01:45,42.1,-79.24,35.6,80,90,11.41
22,Harper,LR,2020-02-16 22:03:41,4.38,-7.72,79.54,90,6,4.34
23,Hobart,AU,2020-02-16 22:01:38,-42.88,147.33,55.0,66,75,12.75
24,Kapaa,US,2020-02-16 21:59:40,22.08,-159.32,78.8,88,90,14.99
25,Longyearbyen,SJ,2020-02-16 22:02:43,78.22,15.64,10.4,72,20,2.24
26,Saint-Philippe,RE,2020-02-16 22:02:08,-21.36,55.77,77.0,69,100,8.05
27,New Norfolk,AU,2020-02-16 22:01:41,-42.78,147.06,55.0,66,75,12.75
28,Cape Town,ZA,2020-02-16 21:58:49,-33.93,18.42,68.0,88,75,14.99
29,Chuy,UY,2020-02-16 22:01:47,-33.7,-53.46,86.2,57,0,10.76
30,Manokwari,ID,2020-02-16 22:02:57,-0.87,134.08,73.65,76,88,3.91
31,Kavaratti,IN,2020-02-16 22:02:31,10.57,72.64,81.64,71,0,7.87
32,Talnakh,RU,2020-02-16 22:04:09,69.49,88.4,10.4,92,40,15.66
33,Cavalcante,BR,2020-02-16 22:02:30,-13.8,-47.46,73.76,80,80,1.66
34,Umm Lajj,SA,2020-02-16 22:04:44,25.02,37.27,65.55,59,100,3.71
35,Airai,TL,2020-02-16 22:01:46,-8.93,125.41,67.51,92,40,2.42
36,Bengkulu,ID,2020-02-16 22:00:07,-3.8,102.27,73.11,89,100,3.74
37,Albany,US,2020-02-16 22:01:46,42.6,-73.97,39.0,68,90,4.79
38,Hilo,US,2020-02-16 22:02:06,19.73,-155.09,77.0,57,40,11.07
39,Grindavik,IS,2020-02-16 22:01:59,63.84,-22.43,35.6,76,75,25.28
40,Sistranda,NO,2020-02-16 22:04:46,63.73,8.83,41.0,80,75,16.11
41,Qaanaaq,GL,2020-02-16 22:01:42,77.48,-69.36,1.09,45,61,7.4
42,Bonavista,CA,2020-02-16 22:02:37,48.65,-53.11,30.99,85,100,15.01
43,Tuktoyaktuk,CA,2020-02-16 22:01:51,69.45,-133.04,-32.8,73,5,12.75
44,Ribeira Grande,PT,2020-02-16 22:02:06,38.52,-28.7,53.6,71,40,11.41
45,Grand Gaube,MU,2020-02-16 22:04:47,-20.01,57.66,77.0,69,20,5.82
46,Busselton,AU,2020-02-16 21:57:07,-33.65,115.33,55.0,60,0,11.52
47,Kalmunai,LK,2020-02-16 22:02:54,7.42,81.82,80.96,70,28,11.65
48,Saskylakh,RU,2020-02-16 22:02:17,71.92,114.08,1.78,95,94,10.54
49,Bertrix,BE,2020-02-16 22:04:47,49.86,5.26,50.0,93,100,20.8
50,Castro,BR,2020-02-16 22:00:05,-24.79,-50.01,78.28,67,77,2.89
51,Chokurdakh,RU,2020-02-16 22:02:22,70.63,147.92,-6.16,97,100,9.8
52,Khatanga,RU,2020-02-16 22:01:44,71.97,102.5,1.31,96,99,10.63
53,Esperance,AU,2020-02-16 22:02:33,-33.87,121.9,57.2,82,40,2.24
54,Bethel,US,2020-02-16 22:01:41,41.37,-73.41,43.0,48,75,5.82
55,Helong,CN,2020-02-16 22:04:49,42.54,129.0,0.34,96,100,3.83
56,Bathsheba,BB,2020-02-16 22:01:55,13.22,-59.52,82.4,61,20,17.22
57,Kahului,US,2020-02-16 22:04:49,20.89,-156.47,73.4,78,19,5.82
58,Port Elizabeth,ZA,2020-02-16 22:02:34,-33.92,25.57,71.6,88,75,16.11
59,Beipiao,CN,2020-02-16 22:04:49,41.79,120.78,9.48,66,0,14.81
60,Atuona,PF,2020-02-16 22:01:47,-9.8,-139.03,81.39,76,29,16.62
61,Prince Rupert,CA,2020-02-16 22:04:50,54.32,-130.32,39.2,86,75,12.75
62,Bratsk,RU,2020-02-16 22:04:50,56.13,101.61,5.0,92,0,4.47
63,Jiuquan,CN,2020-02-16 22:04:50,39.74,98.52,18.25,39,0,6.46
64,Olafsvik,IS,2020-02-16 22:03:37,64.89,-23.71,34.59,92,100,32.64
65,Sitka,US,2020-02-16 22:02:13,57.05,-135.33,37.4,93,75,12.08
66,Belyy Yar,RU,2020-02-16 22:04:51,53.6,91.39,1.4,84,78,2.24
67,Kinkala,CG,2020-02-16 22:04:51,-4.36,14.76,77.0,83,96,5.82
68,Chara,RU,2020-02-16 22:04:51,56.91,118.26,3.04,96,98,0.96
